Case_id;Replayed;Model_Fitness_Initial;Alignment_Fitness_Initial;Model_Fitness_Final;Alignment_Fitness_Final;Time;|Alignment| Initial;|Alignment| Final;|Trace|;|Parikh_Trace|;|Model's Move|;Alignment
413205820,578612990,636102195,672506739,688564824|;1;0,6;0,230769230769231;0,6;0,230769230769231;0,016481161117554;9;8;6;5;5;[L]Accepted|[M]tau*split|[L/M]Accepted|[L/M]Queued|[L]Accepted|[L]Accepted|[L/M]Completed|[M]tau*join|
415822336|;1;0,4;0,111111111111111;0,4;0,111111111111111;0,022478103637695;10;10;7;5;5;[L]Accepted|[M]tau*split|[L/M]Accepted|[L]Queued|[L]Queued|[L/M]Queued|[L]Accepted|[M]tau*from*tree|[L]Accepted|[M]tau*join|
427955007,535418135,547617088,637089310,701429911,728470722|;1;0,4;0,142857142857143;0,4;0,142857142857143;0,023514032363892;9;8;5;5;5;[L]Accepted|[M]tau*split|[L/M]Accepted|[L]Accepted|[M]tau*from*tree|[L]Accepted|[L/M]Completed|[M]tau*join|
433910332|;1;0,2;0,047619047619048;0,2;0,047619047619048;0,018677949905396;11;11;7;5;5;[L]Accepted|[L]Accepted|[L]Accepted|[M]tau*split|[L/M]Accepted|[L]Accepted|[M]tau*from*tree|[L]Accepted|[M]tau*from*tree|[L]Accepted|[M]tau*join|
473084325|;1;0,6;0,2;0,6;0,2;0,013262987136841;11;9;7;5;5;[L]Queued|[L]Queued|[L]Queued|[M]tau*split|[L/M]Queued|[L/M]Accepted|[L]Accepted|[L/M]Completed|[M]tau*join|
512617571,574222268,641243011|;1;0,4;0,125;0,4;0,125;0,014296054840088;10;9;6;5;5;[L]Accepted|[L]Accepted|[M]tau*split|[L/M]Accepted|[L]Accepted|[M]tau*from*tree|[L]Accepted|[L/M]Completed|[M]tau*join|
531872604,607158761,670754761,747372912,757480343,757827277|;1;0,4;0,2;0,4;0,2;0,013661861419678;6;6;3;5;5;[L]Accepted|[M]tau*split|[L/M]Accepted|[L/M]Queued|[M]tau*from*tree|[M]tau*join|
538297321,686642543,740315794,752629415,756300970|;1;0,4;0,25;0,4;0,25;0,015740871429443;6;5;2;5;5;[M]tau*split|[L/M]Queued|[M]tau*from*tree|[L/M]Accepted|[M]tau*join|
542940765|;1;0,6;0,2;0,6;0,2;0,017254114151001;10;9;7;5;5;[L]Accepted|[L]Accepted|[L]Queued|[M]tau*split|[L/M]Accepted|[L/M]Queued|[L]Accepted|[L/M]Completed|[M]tau*join|
545911672,599626401,653314473,660903884,672975080,675685459,694899814,696835891,699661601,716154984,730084841|;1;0,4;0,2;0,4;0,2;0,013867855072022;6;6;3;5;5;[L]Queued|[M]tau*split|[L/M]Accepted|[M]Queued|[L/M]Completed|[M]tau*join|
546838031|;1;0,4;0,142857142857143;0,4;0,142857142857143;0,018033981323242;8;8;5;5;5;[L]Queued|[L]Queued|[M]tau*split|[L/M]Accepted|[L]Accepted|[M]Queued|[L/M]Completed|[M]tau*join|
560404489|;1;0,4;0,1;0,4;0,1;0,018877983093262;12;11;8;5;5;[L]Accepted|[L]Queued|[L]Queued|[L]Accepted|[M]tau*split|[L/M]Accepted|[L]Accepted|[M]tau*from*tree|[L]Accepted|[L/M]Queued|[M]tau*join|
572078531,703190797,738520030,738520140,738520280,738520420,738520500,738554050,738554110,740740981,742730173,743877727,744088047,746018291,746018381,746148741,746205481,749184751,749840934,752294699,753301833,754526611,755467807,757113161,757533524,758231571,758989918|;1;0,4;0,2;0,4;0,2;0,016133069992066;6;6;3;5;5;[M]tau*split|[L/M]Accepted|[L/M]Queued|[M]tau*from*tree|[L]Accepted|[M]tau*join|
573830584|;1;0,4;0,090909090909091;0,4;0,090909090909091;0,016695022583008;13;12;9;5;5;[L]Accepted|[L]Accepted|[L]Accepted|[L]Accepted|[L]Accepted|[M]tau*split|[L/M]Accepted|[L]Accepted|[M]tau*from*tree|[L]Accepted|[L/M]Completed|[M]tau*join|
577996886|;1;0,6;0,2;0,6;0,2;0,015787839889526;11;9;7;5;5;[L]Accepted|[L]Queued|[L]Queued|[L]Queued|[M]tau*split|[L/M]Queued|[L/M]Accepted|[L/M]Completed|[M]tau*join|
578105842,612515539,616993936,757564651|;1;0,4;0,2;0,4;0,2;0,015666961669922;6;6;3;5;5;[M]tau*split|[L/M]Accepted|[L/M]Queued|[M]tau*from*tree|[L]Queued|[M]tau*join|
580464971,657063150,738501821,747064611,753055854|;1;0,4;0,142857142857143;0,4;0,142857142857143;0,013499975204468;8;8;5;5;5;[M]tau*split|[L/M]Accepted|[L/M]Queued|[L]Accepted|[L]Queued|[M]tau*from*tree|[L]Accepted|[M]tau*join|
581898739|;1;0,6;0,157894736842105;0,6;0,157894736842105;0,015601873397827;11;11;9;5;5;[L]Accepted|[L]Queued|[M]tau*split|[L/M]Accepted|[L]Queued|[L]Queued|[L/M]Queued|[L]Accepted|[L/M]Completed|[L]Accepted|[M]tau*join|
588712865,621393223,696680265|;1;0,6;0,230769230769231;0,6;0,230769230769231;0,014936208724976;10;8;6;5;5;[L]Accepted|[L]Queued|[M]tau*split|[L/M]Queued|[L/M]Accepted|[L]Accepted|[L/M]Completed|[M]tau*join|
590574771,595293983,660268091|;1;0,4;0,142857142857143;0,4;0,142857142857143;0,016319036483765;9;8;5;5;5;[L]Queued|[M]tau*split|[L/M]Accepted|[L/M]Completed|[L]Accepted|[M]Queued|[L]Completed|[M]tau*join|
591627183,600663061,690931471,703399394,712856449,715638561,722688743,728641711,742296921|;1;0,6;0,333333333333333;0,6;0,333333333333333;0,01378607749939;7;6;4;5;5;[M]tau*split|[L/M]Accepted|[L/M]Queued|[L]Accepted|[L/M]Completed|[M]tau*join|
599157751|;1;0,6;0,272727272727273;0,6;0,272727272727273;0,014589071273804;9;7;5;5;5;[L]Accepted|[L]Queued|[M]tau*split|[L/M]Queued|[L/M]Accepted|[L/M]Completed|[M]tau*join|
602870173|;1;0,4;0,083333333333333;0,4;0,083333333333333;0,020426988601685;13;13;10;5;5;[L]Accepted|[L]Queued|[L]Accepted|[L]Queued|[L]Queued|[M]tau*split|[L/M]Accepted|[L/M]Queued|[L]Accepted|[L]Accepted|[M]tau*from*tree|[L]Queued|[M]tau*join|
604882241,709552565|;1;0,4;0,166666666666667;0,4;0,166666666666667;0,016029119491577;7;7;4;5;5;[M]tau*split|[L/M]Accepted|[L/M]Queued|[L]Accepted|[M]tau*from*tree|[L]Queued|[M]tau*join|
606971198,636852199,738285921,738538186,739271601,739323204,740527376,740829883,741545507,741547216,741583418,741647211,741672841,741674039,741826252,741867303,742134325,742230262,742257742,742397639,742746815,742765946,742838561,742980945,743110322,743358071,743367526,743483832,743549026,743628673,744092992,744103178,744207783,744617566,744950276,745019964,745082895,745418021,745542401,745625831,745886321,745966287,745991925,746009843,746057054,746129221,746246761,746306469,746854891,746973401,747042322,747173974,747590161,747770943,748414511,748432219,748764090,748801231,749042472,749053411,749112097,749285083,749285250,749285407,749306975,749307260,749402183,749550065,749657781,749760823,749821849,749871888,749886936,749931426,750196720,750209134,750209298,750239221,750255303,750293610,750473129,750823791,750838075,751197742,751277838,751447190,751492205,751568641,751689562,751904239,752158401,752184442,752195185,752253951,752521529,752542242,752580191,752809009,753034398,753118981,753119403,753287118,753646102,753713441,753768558,753878023,754450223,754450603,754744405,755039071,755123451,755198841,755248531,755478621,755773369,755797667,756111935,756296861,756603706,756787020,756979533,757589842,757615671,757709801,757779170,757793972,757936055,758090698,758109531,758210759,758235785,758672701,758764831,758849852,758976470,758983319,759020352,759169644|;1;0,2;0,111111111111111;0,2;0,111111111111111;0,015730142593384;5;5;1;5;5;[M]tau*split|[L/M]Accepted|[M]tau*from*tree|[M]tau*from*tree|[M]tau*join|
616409083,656510751,690327837|;1;0,4;0,166666666666667;0,4;0,166666666666667;0,016690969467163;8;7;4;5;5;[M]tau*split|[L/M]Accepted|[L/M]Completed|[L]Accepted|[M]tau*from*tree|[L]Completed|[M]tau*join|
617356985|;1;0,6;0,272727272727273;0,6;0,272727272727273;0,015780925750733;10;7;5;5;5;[L]Accepted|[M]tau*split|[L/M]Completed|[L/M]Accepted|[L]Accepted|[L/M]Queued|[M]tau*join|
617696569|;1;0,4;0,125;0,4;0,125;0,021361112594605;10;9;6;5;5;[L]Accepted|[L]Completed|[M]tau*split|[L/M]Accepted|[L/M]Completed|[L]Accepted|[M]tau*from*tree|[L]Completed|[M]tau*join|
618041243,618116069,622618613,623873811,625459293,691786096,698044001,732289301|;1;0,6;0,272727272727273;0,6;0,272727272727273;0,022114992141724;8;7;5;5;5;[M]tau*split|[L/M]Accepted|[L/M]Queued|[L]Accepted|[L]Accepted|[L/M]Completed|[M]tau*join|
619109941|;1;0,4;0,111111111111111;0,4;0,111111111111111;0,01929783821106;10;10;7;5;5;[L]Queued|[M]tau*split|[L/M]Accepted|[L]Queued|[L]Queued|[L/M]Queued|[L]Queued|[M]tau*from*tree|[L]Accepted|[M]tau*join|
619699161|;1;0,6;0,2;0,6;0,2;0,016581058502197;9;9;7;5;5;[M]tau*split|[L/M]Accepted|[L/M]Queued|[L]Accepted|[L/M]Completed|[L]Accepted|[L]Accepted|[L]Completed|[M]tau*join|
620483711,636080278|;1;0,4;0,166666666666667;0,4;0,166666666666667;0,015821933746338;7;7;4;5;5;[M]tau*split|[L/M]Accepted|[L/M]Queued|[L]Queued|[M]tau*from*tree|[L]Accepted|[M]tau*join|
621311061|;1;0,4;0,090909090909091;0,4;0,090909090909091;0,020151853561401;12;12;9;5;5;[L]Accepted|[L]Completed|[L]Accepted|[M]tau*split|[L/M]Accepted|[L]Completed|[L]Accepted|[M]tau*from*tree|[L/M]Completed|[L]Accepted|[L]Completed|[M]tau*join|
628203323,675150191,720069371|;1;0,4;0,111111111111111;0,4;0,111111111111111;0,017936944961548;11;10;7;5;5;[L]Accepted|[L]Accepted|[L]Accepted|[M]tau*split|[L/M]Accepted|[L]Accepted|[M]tau*from*tree|[L]Accepted|[L/M]Completed|[M]tau*join|
